Datum;Zeitzone;von;bis;Datenkategorie;Datentyp;Einheit;reBAP unterdeckt;reBAP ueberdeckt
2020-01-01;CET;00:00;00:15;reBAP;Qualitätsgesichert;EUR/MWh;-22,37;-22,37
2020-01-01;CET;00:15;00:30;reBAP;Qualitätsgesichert;EUR/MWh;77,75;77,75
2020-01-01;CET;00:30;00:45;reBAP;Qualitätsgesichert;EUR/MWh;63,24;63,24
2020-01-01;CET;00:45;01:00;reBAP;Qualitätsgesichert;EUR/MWh;44,12;44,12
2020-01-01;CET;01:00;01:15;reBAP;Qualitätsgesichert;EUR/MWh;79,57;79,57
2020-01-01;CET;01:15;01:30;reBAP;Qualitätsgesichert;EUR/MWh;-72,24;-72,24
2020-01-01;CET;01:30;01:45;reBAP;Qualitätsgesichert;EUR/MWh;15,52;15,52
2020-01-01;CET;01:45;02:00;reBAP;Qualitätsgesichert;EUR/MWh;14,11;14,11
2020-01-01;CET;02:00;02:15;reBAP;Qualitätsgesichert;EUR/MWh;130,39;130,39
2020-01-01;CET;02:15;02:30;reBAP;Qualitätsgesichert;EUR/MWh;46,24;46,24
2020-01-01;CET;02:30;02:45;reBAP;Qualitätsgesichert;EUR/MWh;49,93;49,93
2020-01-01;CET;02:45;03:00;reBAP;Qualitätsgesichert;EUR/MWh;35,31;35,31
2020-01-01;CET;03:00;03:15;reBAP;Qualitätsgesichert;EUR/MWh;127,05;127,05
2020-01-01;CET;03:15;03:30;reBAP;Qualitätsgesichert;EUR/MWh;36,75;36,75
2020-01-01;CET;03:30;03:45;reBAP;Qualitätsgesichert;EUR/MWh;34,34;34,34
2020-01-01;CET;03:45;04:00;reBAP;Qualitätsgesichert;EUR/MWh;28,98;28,98
2020-01-01;CET;04:00;04:15;reBAP;Qualitätsgesichert;EUR/MWh;-67,45;-67,45
2020-01-01;CET;04:15;04:30;reBAP;Qualitätsgesichert;EUR/MWh;-6,24;-6,24
2020-01-01;CET;04:30;04:45;reBAP;Qualitätsgesichert;EUR/MWh;12,68;12,68
2020-01-01;CET;04:45;05:00;reBAP;Qualitätsgesichert;EUR/MWh;15,47;15,47
2020-01-01;CET;05:00;05:15;reBAP;Qualitätsgesichert;EUR/MWh;51,86;51,86
2020-01-01;CET;05:15;05:30;reBAP;Qualitätsgesichert;EUR/MWh;-0,77;-0,77
2020-01-01;CET;05:30;05:45;reBAP;Qualitätsgesichert;EUR/MWh;17,34;17,34
2020-01-01;CET;05:45;06:00;reBAP;Qualitätsgesichert;EUR/MWh;113,81;113,81
2020-01-01;CET;06:00;06:15;reBAP;Qualitätsgesichert;EUR/MWh;145,69;145,69
2020-01-01;CET;06:15;06:30;reBAP;Qualitätsgesichert;EUR/MWh;96,10;96,10
2020-01-01;CET;06:30;06:45;reBAP;Qualitätsgesichert;EUR/MWh;119,67;119,67
2020-01-01;CET;06:45;07:00;reBAP;Qualitätsgesichert;EUR/MWh;90,57;90,57
2020-01-01;CET;07:00;07:15;reBAP;Qualitätsgesichert;EUR/MWh;92,50;92,50
2020-01-01;CET;07:15;07:30;reBAP;Qualitätsgesichert;EUR/MWh;68,06;68,06
2020-01-01;CET;07:30;07:45;reBAP;Qualitätsgesichert;EUR/MWh;-67,45;-67,45
2020-01-01;CET;07:45;08:00;reBAP;Qualitätsgesichert;EUR/MWh;15,93;15,93
2020-01-01;CET;08:00;08:15;reBAP;Qualitätsgesichert;EUR/MWh;7,28;7,28
2020-01-01;CET;08:15;08:30;reBAP;Qualitätsgesichert;EUR/MWh;-2,68;-2,68
2020-01-01;CET;08:30;08:45;reBAP;Qualitätsgesichert;EUR/MWh;7,78;7,78
2020-01-01;CET;08:45;09:00;reBAP;Qualitätsgesichert;EUR/MWh;2,91;2,91
2020-01-01;CET;09:00;09:15;reBAP;Qualitätsgesichert;EUR/MWh;5,34;5,34
2020-01-01;CET;09:15;09:30;reBAP;Qualitätsgesichert;EUR/MWh;0,34;0,34
2020-01-01;CET;09:30;09:45;reBAP;Qualitätsgesichert;EUR/MWh;-2,84;-2,84
2020-01-01;CET;09:45;10:00;reBAP;Qualitätsgesichert;EUR/MWh;-1,25;-1,25
2020-01-01;CET;10:00;10:15;reBAP;Qualitätsgesichert;EUR/MWh;-19,27;-19,27
2020-01-01;CET;10:15;10:30;reBAP;Qualitätsgesichert;EUR/MWh;-55,61;-55,61
2020-01-01;CET;10:30;10:45;reBAP;Qualitätsgesichert;EUR/MWh;-128,84;-128,84
2020-01-01;CET;10:45;11:00;reBAP;Qualitätsgesichert;EUR/MWh;-19,78;-19,78
2020-01-01;CET;11:00;11:15;reBAP;Qualitätsgesichert;EUR/MWh;-225,46;-225,46
2020-01-01;CET;11:15;11:30;reBAP;Qualitätsgesichert;EUR/MWh;-39,20;-39,20
2020-01-01;CET;11:30;11:45;reBAP;Qualitätsgesichert;EUR/MWh;-39,10;-39,10
2020-01-01;CET;11:45;12:00;reBAP;Qualitätsgesichert;EUR/MWh;-99,80;-99,80
2020-01-01;CET;12:00;12:15;reBAP;Qualitätsgesichert;EUR/MWh;-322,66;-322,66
2020-01-01;CET;12:15;12:30;reBAP;Qualitätsgesichert;EUR/MWh;-50,77;-50,77
2020-01-01;CET;12:30;12:45;reBAP;Qualitätsgesichert;EUR/MWh;-34,88;-34,88
2020-01-01;CET;12:45;13:00;reBAP;Qualitätsgesichert;EUR/MWh;-237,53;-237,53
2020-01-01;CET;13:00;13:15;reBAP;Qualitätsgesichert;EUR/MWh;-162,41;-162,41
2020-01-01;CET;13:15;13:30;reBAP;Qualitätsgesichert;EUR/MWh;8,90;8,90
2020-01-01;CET;13:30;13:45;reBAP;Qualitätsgesichert;EUR/MWh;7,40;7,40
2020-01-01;CET;13:45;14:00;reBAP;Qualitätsgesichert;EUR/MWh;46,41;46,41
2020-01-01;CET;14:00;14:15;reBAP;Qualitätsgesichert;EUR/MWh;153,52;153,52
2020-01-01;CET;14:15;14:30;reBAP;Qualitätsgesichert;EUR/MWh;48,36;48,36
2020-01-01;CET;14:30;14:45;reBAP;Qualitätsgesichert;EUR/MWh;112,36;112,36
2020-01-01;CET;14:45;15:00;reBAP;Qualitätsgesichert;EUR/MWh;67,26;67,26
2020-01-01;CET;15:00;15:15;reBAP;Qualitätsgesichert;EUR/MWh;42,85;42,85
2020-01-01;CET;15:15;15:30;reBAP;Qualitätsgesichert;EUR/MWh;53,43;53,43
2020-01-01;CET;15:30;15:45;reBAP;Qualitätsgesichert;EUR/MWh;60,37;60,37
2020-01-01;CET;15:45;16:00;reBAP;Qualitätsgesichert;EUR/MWh;53,09;53,09
2020-01-01;CET;16:00;16:15;reBAP;Qualitätsgesichert;EUR/MWh;11,47;11,47
2020-01-01;CET;16:15;16:30;reBAP;Qualitätsgesichert;EUR/MWh;16,99;16,99
2020-01-01;CET;16:30;16:45;reBAP;Qualitätsgesichert;EUR/MWh;30,48;30,48
2020-01-01;CET;16:45;17:00;reBAP;Qualitätsgesichert;EUR/MWh;40,29;40,29
2020-01-01;CET;17:00;17:15;reBAP;Qualitätsgesichert;EUR/MWh;1,40;1,40
2020-01-01;CET;17:15;17:30;reBAP;Qualitätsgesichert;EUR/MWh;9,07;9,07
2020-01-01;CET;17:30;17:45;reBAP;Qualitätsgesichert;EUR/MWh;18,05;18,05
2020-01-01;CET;17:45;18:00;reBAP;Qualitätsgesichert;EUR/MWh;40,65;40,65
2020-01-01;CET;18:00;18:15;reBAP;Qualitätsgesichert;EUR/MWh;24,07;24,07
2020-01-01;CET;18:15;18:30;reBAP;Qualitätsgesichert;EUR/MWh;19,60;19,60
2020-01-01;CET;18:30;18:45;reBAP;Qualitätsgesichert;EUR/MWh;8,90;8,90
2020-01-01;CET;18:45;19:00;reBAP;Qualitätsgesichert;EUR/MWh;17,64;17,64
2020-01-01;CET;19:00;19:15;reBAP;Qualitätsgesichert;EUR/MWh;22,60;22,60
2020-01-01;CET;19:15;19:30;reBAP;Qualitätsgesichert;EUR/MWh;10,85;10,85
2020-01-01;CET;19:30;19:45;reBAP;Qualitätsgesichert;EUR/MWh;-0,38;-0,38
