Datum;Zeitzone;von;bis;Datenkategorie;Datentyp;Einheit;reBAP unterdeckt;reBAP ueberdeckt
2022-01-01;CET;00:00;00:15;reBAP;Qualitätsgesichert;EUR/MWh;225,75;225,75
2022-01-01;CET;00:15;00:30;reBAP;Qualitätsgesichert;EUR/MWh;290,85;290,85
2022-01-01;CET;00:30;00:45;reBAP;Qualitätsgesichert;EUR/MWh;182,39;182,39
2022-01-01;CET;00:45;01:00;reBAP;Qualitätsgesichert;EUR/MWh;94,70;94,70
2022-01-01;CET;01:00;01:15;reBAP;Qualitätsgesichert;EUR/MWh;187,08;187,08
2022-01-01;CET;01:15;01:30;reBAP;Qualitätsgesichert;EUR/MWh;68,37;68,37
2022-01-01;CET;01:30;01:45;reBAP;Qualitätsgesichert;EUR/MWh;-66,56;-66,56
2022-01-01;CET;01:45;02:00;reBAP;Qualitätsgesichert;EUR/MWh;40,33;40,33
2022-01-01;CET;02:00;02:15;reBAP;Qualitätsgesichert;EUR/MWh;172,81;172,81
2022-01-01;CET;02:15;02:30;reBAP;Qualitätsgesichert;EUR/MWh;37,81;37,81
2022-01-01;CET;02:30;02:45;reBAP;Qualitätsgesichert;EUR/MWh;47,74;47,74
2022-01-01;CET;02:45;03:00;reBAP;Qualitätsgesichert;EUR/MWh;-72,61;-72,61
2022-01-01;CET;03:00;03:15;reBAP;Qualitätsgesichert;EUR/MWh;18,24;18,24
2022-01-01;CET;03:15;03:30;reBAP;Qualitätsgesichert;EUR/MWh;14,22;14,22
2022-01-01;CET;03:30;03:45;reBAP;Qualitätsgesichert;EUR/MWh;11,24;11,24
2022-01-01;CET;03:45;04:00;reBAP;Qualitätsgesichert;EUR/MWh;-49,31;-49,31
2022-01-01;CET;04:00;04:15;reBAP;Qualitätsgesichert;EUR/MWh;-36,95;-36,95
2022-01-01;CET;04:15;04:30;reBAP;Qualitätsgesichert;EUR/MWh;-20,25;-20,25
2022-01-01;CET;04:30;04:45;reBAP;Qualitätsgesichert;EUR/MWh;-14,38;-14,38
2022-01-01;CET;04:45;05:00;reBAP;Qualitätsgesichert;EUR/MWh;-15,37;-15,37
2022-01-01;CET;05:00;05:15;reBAP;Qualitätsgesichert;EUR/MWh;152,48;152,48
2022-01-01;CET;05:15;05:30;reBAP;Qualitätsgesichert;EUR/MWh;191,84;191,84
2022-01-01;CET;05:30;05:45;reBAP;Qualitätsgesichert;EUR/MWh;210,17;210,17
2022-01-01;CET;05:45;06:00;reBAP;Qualitätsgesichert;EUR/MWh;135,04;135,04
2022-01-01;CET;06:00;06:15;reBAP;Qualitätsgesichert;EUR/MWh;-35,52;-35,52
2022-01-01;CET;06:15;06:30;reBAP;Qualitätsgesichert;EUR/MWh;-14,49;-14,49
2022-01-01;CET;06:30;06:45;reBAP;Qualitätsgesichert;EUR/MWh;-10,22;-10,22
2022-01-01;CET;06:45;07:00;reBAP;Qualitätsgesichert;EUR/MWh;-30,89;-30,89
2022-01-01;CET;07:00;07:15;reBAP;Qualitätsgesichert;EUR/MWh;-11,19;-11,19
2022-01-01;CET;07:15;07:30;reBAP;Qualitätsgesichert;EUR/MWh;-47,18;-47,18
2022-01-01;CET;07:30;07:45;reBAP;Qualitätsgesichert;EUR/MWh;-28,82;-28,82
2022-01-01;CET;07:45;08:00;reBAP;Qualitätsgesichert;EUR/MWh;-52,61;-52,61
2022-01-01;CET;08:00;08:15;reBAP;Qualitätsgesichert;EUR/MWh;-74,23;-74,23
2022-01-01;CET;08:15;08:30;reBAP;Qualitätsgesichert;EUR/MWh;88,73;88,73
2022-01-01;CET;08:30;08:45;reBAP;Qualitätsgesichert;EUR/MWh;-50,28;-50,28
2022-01-01;CET;08:45;09:00;reBAP;Qualitätsgesichert;EUR/MWh;-57,85;-57,85
2022-01-01;CET;09:00;09:15;reBAP;Qualitätsgesichert;EUR/MWh;-105,17;-105,17
2022-01-01;CET;09:15;09:30;reBAP;Qualitätsgesichert;EUR/MWh;-88,91;-88,91
2022-01-01;CET;09:30;09:45;reBAP;Qualitätsgesichert;EUR/MWh;-76,97;-76,97
2022-01-01;CET;09:45;10:00;reBAP;Qualitätsgesichert;EUR/MWh;-64,07;-64,07
2022-01-01;CET;10:00;10:15;reBAP;Qualitätsgesichert;EUR/MWh;-70,16;-70,16
2022-01-01;CET;10:15;10:30;reBAP;Qualitätsgesichert;EUR/MWh;-57,49;-57,49
2022-01-01;CET;10:30;10:45;reBAP;Qualitätsgesichert;EUR/MWh;-45,02;-45,02
2022-01-01;CET;10:45;11:00;reBAP;Qualitätsgesichert;EUR/MWh;-56,62;-56,62
2022-01-01;CET;11:00;11:15;reBAP;Qualitätsgesichert;EUR/MWh;-34,13;-34,13
2022-01-01;CET;11:15;11:30;reBAP;Qualitätsgesichert;EUR/MWh;-50,07;-50,07
2022-01-01;CET;11:30;11:45;reBAP;Qualitätsgesichert;EUR/MWh;-62,29;-62,29
2022-01-01;CET;11:45;12:00;reBAP;Qualitätsgesichert;EUR/MWh;1,17;1,17
2022-01-01;CET;12:00;12:15;reBAP;Qualitätsgesichert;EUR/MWh;21,53;21,53
2022-01-01;CET;12:15;12:30;reBAP;Qualitätsgesichert;EUR/MWh;-5,34;-5,34
2022-01-01;CET;12:30;12:45;reBAP;Qualitätsgesichert;EUR/MWh;-51,72;-51,72
2022-01-01;CET;12:45;13:00;reBAP;Qualitätsgesichert;EUR/MWh;26,37;26,37
2022-01-01;CET;13:00;13:15;reBAP;Qualitätsgesichert;EUR/MWh;3,07;3,07
2022-01-01;CET;13:15;13:30;reBAP;Qualitätsgesichert;EUR/MWh;-46,83;-46,83
2022-01-01;CET;13:30;13:45;reBAP;Qualitätsgesichert;EUR/MWh;-62,11;-62,11
2022-01-01;CET;13:45;14:00;reBAP;Qualitätsgesichert;EUR/MWh;8,21;8,21
2022-01-01;CET;14:00;14:15;reBAP;Qualitätsgesichert;EUR/MWh;6,08;6,08
2022-01-01;CET;14:15;14:30;reBAP;Qualitätsgesichert;EUR/MWh;53,33;53,33
2022-01-01;CET;14:30;14:45;reBAP;Qualitätsgesichert;EUR/MWh;68,90;68,90
2022-01-01;CET;14:45;15:00;reBAP;Qualitätsgesichert;EUR/MWh;74,11;74,11
2022-01-01;CET;15:00;15:15;reBAP;Qualitätsgesichert;EUR/MWh;28,65;28,65
2022-01-01;CET;15:15;15:30;reBAP;Qualitätsgesichert;EUR/MWh;47,06;47,06
2022-01-01;CET;15:30;15:45;reBAP;Qualitätsgesichert;EUR/MWh;45,28;45,28
2022-01-01;CET;15:45;16:00;reBAP;Qualitätsgesichert;EUR/MWh;11,88;11,88
2022-01-01;CET;16:00;16:15;reBAP;Qualitätsgesichert;EUR/MWh;-16,40;-16,40
2022-01-01;CET;16:15;16:30;reBAP;Qualitätsgesichert;EUR/MWh;42,46;42,46
2022-01-01;CET;16:30;16:45;reBAP;Qualitätsgesichert;EUR/MWh;43,36;43,36
2022-01-01;CET;16:45;17:00;reBAP;Qualitätsgesichert;EUR/MWh;68,53;68,53
2022-01-01;CET;17:00;17:15;reBAP;Qualitätsgesichert;EUR/MWh;173,58;173,58
2022-01-01;CET;17:15;17:30;reBAP;Qualitätsgesichert;EUR/MWh;29,99;29,99
2022-01-01;CET;17:30;17:45;reBAP;Qualitätsgesichert;EUR/MWh;56,70;56,70
2022-01-01;CET;17:45;18:00;reBAP;Qualitätsgesichert;EUR/MWh;53,55;53,55
2022-01-01;CET;18:00;18:15;reBAP;Qualitätsgesichert;EUR/MWh;229,28;229,28
2022-01-01;CET;18:15;18:30;reBAP;Qualitätsgesichert;EUR/MWh;-8,08;-8,08
2022-01-01;CET;18:30;18:45;reBAP;Qualitätsgesichert;EUR/MWh;49,61;49,61
2022-01-01;CET;18:45;19:00;reBAP;Qualitätsgesichert;EUR/MWh;23,75;23,75
2022-01-01;CET;19:00;19:15;reBAP;Qualitätsgesichert;EUR/MWh;25,41;25,41
2022-01-01;CET;19:15;19:30;reBAP;Qualitätsgesichert;EUR/MWh;32,68;32,68
2022-01-01;CET;19:30;19:45;reBAP;Qualitätsgesichert;EUR/MWh;22,95;22,95
2022-01-01;CET;19:45;20:00;reBAP;Qualitätsgesichert;EUR/MWh;-29,23;-29,23
2022-01-01;CET;20:00;20:15;reBAP;Qualitätsgesichert;EUR/MWh;50,81;50,81
2022-01-01;CET;20:15;20:30;reBAP;Qualitätsgesichert;EUR/MWh;8,44;8,44
