Datum;Zeitzone;von;bis;Datenkategorie;Datentyp;Einheit;reBAP unterdeckt;reBAP ueberdeckt
2023-01-01;CET;00:00;00:15;reBAP;Qualitätsgesichert;EUR/MWh;185,56;185,56
2023-01-01;CET;00:15;00:30;reBAP;Qualitätsgesichert;EUR/MWh;-78,96;-78,96
2023-01-01;CET;00:30;00:45;reBAP;Qualitätsgesichert;EUR/MWh;-76,74;-76,74
2023-01-01;CET;00:45;01:00;reBAP;Qualitätsgesichert;EUR/MWh;-60,71;-60,71
2023-01-01;CET;01:00;01:15;reBAP;Qualitätsgesichert;EUR/MWh;250,99;250,99
2023-01-01;CET;01:15;01:30;reBAP;Qualitätsgesichert;EUR/MWh;237,10;237,10
2023-01-01;CET;01:30;01:45;reBAP;Qualitätsgesichert;EUR/MWh;225,43;225,43
2023-01-01;CET;01:45;02:00;reBAP;Qualitätsgesichert;EUR/MWh;212,36;212,36
2023-01-01;CET;02:00;02:15;reBAP;Qualitätsgesichert;EUR/MWh;-56,95;-56,95
2023-01-01;CET;02:15;02:30;reBAP;Qualitätsgesichert;EUR/MWh;-70,84;-70,84
2023-01-01;CET;02:30;02:45;reBAP;Qualitätsgesichert;EUR/MWh;-60,93;-60,93
2023-01-01;CET;02:45;03:00;reBAP;Qualitätsgesichert;EUR/MWh;-119,70;-119,70
2023-01-01;CET;03:00;03:15;reBAP;Qualitätsgesichert;EUR/MWh;-56,46;-56,46
2023-01-01;CET;03:15;03:30;reBAP;Qualitätsgesichert;EUR/MWh;-75,10;-75,10
2023-01-01;CET;03:30;03:45;reBAP;Qualitätsgesichert;EUR/MWh;-84,18;-84,18
2023-01-01;CET;03:45;04:00;reBAP;Qualitätsgesichert;EUR/MWh;-56,18;-56,18
2023-01-01;CET;04:00;04:15;reBAP;Qualitätsgesichert;EUR/MWh;192,89;192,89
2023-01-01;CET;04:15;04:30;reBAP;Qualitätsgesichert;EUR/MWh;-38,43;-38,43
2023-01-01;CET;04:30;04:45;reBAP;Qualitätsgesichert;EUR/MWh;-62,78;-62,78
2023-01-01;CET;04:45;05:00;reBAP;Qualitätsgesichert;EUR/MWh;-57,56;-57,56
2023-01-01;CET;05:00;05:15;reBAP;Qualitätsgesichert;EUR/MWh;-81,73;-81,73
2023-01-01;CET;05:15;05:30;reBAP;Qualitätsgesichert;EUR/MWh;-19,61;-19,61
2023-01-01;CET;05:30;05:45;reBAP;Qualitätsgesichert;EUR/MWh;-3,69;-3,69
2023-01-01;CET;05:45;06:00;reBAP;Qualitätsgesichert;EUR/MWh;-25,45;-25,45
2023-01-01;CET;06:00;06:15;reBAP;Qualitätsgesichert;EUR/MWh;-76,88;-76,88
2023-01-01;CET;06:15;06:30;reBAP;Qualitätsgesichert;EUR/MWh;-58,98;-58,98
2023-01-01;CET;06:30;06:45;reBAP;Qualitätsgesichert;EUR/MWh;-59,66;-59,66
2023-01-01;CET;06:45;07:00;reBAP;Qualitätsgesichert;EUR/MWh;-56,72;-56,72
2023-01-01;CET;07:00;07:15;reBAP;Qualitätsgesichert;EUR/MWh;-69,73;-69,73
2023-01-01;CET;07:15;07:30;reBAP;Qualitätsgesichert;EUR/MWh;-66,41;-66,41
2023-01-01;CET;07:30;07:45;reBAP;Qualitätsgesichert;EUR/MWh;-178,79;-178,79
2023-01-01;CET;07:45;08:00;reBAP;Qualitätsgesichert;EUR/MWh;-834,18;-834,18
2023-01-01;CET;08:00;08:15;reBAP;Qualitätsgesichert;EUR/MWh;-276,31;-276,31
2023-01-01;CET;08:15;08:30;reBAP;Qualitätsgesichert;EUR/MWh;-185,32;-185,32
2023-01-01;CET;08:30;08:45;reBAP;Qualitätsgesichert;EUR/MWh;-186,59;-186,59
2023-01-01;CET;08:45;09:00;reBAP;Qualitätsgesichert;EUR/MWh;-162,57;-162,57
2023-01-01;CET;09:00;09:15;reBAP;Qualitätsgesichert;EUR/MWh;-140,87;-140,87
2023-01-01;CET;09:15;09:30;reBAP;Qualitätsgesichert;EUR/MWh;-150,49;-150,49
2023-01-01;CET;09:30;09:45;reBAP;Qualitätsgesichert;EUR/MWh;-128,95;-128,95
2023-01-01;CET;09:45;10:00;reBAP;Qualitätsgesichert;EUR/MWh;-142,39;-142,39
2023-01-01;CET;10:00;10:15;reBAP;Qualitätsgesichert;EUR/MWh;-176,78;-176,78
2023-01-01;CET;10:15;10:30;reBAP;Qualitätsgesichert;EUR/MWh;-139,50;-139,50
2023-01-01;CET;10:30;10:45;reBAP;Qualitätsgesichert;EUR/MWh;-124,01;-124,01
2023-01-01;CET;10:45;11:00;reBAP;Qualitätsgesichert;EUR/MWh;146,20;146,20
2023-01-01;CET;11:00;11:15;reBAP;Qualitätsgesichert;EUR/MWh;208,04;208,04
2023-01-01;CET;11:15;11:30;reBAP;Qualitätsgesichert;EUR/MWh;-134,34;-134,34
2023-01-01;CET;11:30;11:45;reBAP;Qualitätsgesichert;EUR/MWh;-151,84;-151,84
2023-01-01;CET;11:45;12:00;reBAP;Qualitätsgesichert;EUR/MWh;-163,78;-163,78
2023-01-01;CET;12:00;12:15;reBAP;Qualitätsgesichert;EUR/MWh;-141,49;-141,49
