Datum;Zeitzone;von;bis;Datenkategorie;Datentyp;Einheit;reBAP unterdeckt;reBAP ueberdeckt
2022-06-01;CEST;00:00;00:15;reBAP;Qualitätsgesichert;EUR/MWh;76,00;76,00
2022-06-01;CEST;00:15;00:30;reBAP;Qualitätsgesichert;EUR/MWh;51,72;51,72
2022-06-01;CEST;00:30;00:45;reBAP;Qualitätsgesichert;EUR/MWh;246,53;246,53
2022-06-01;CEST;00:45;01:00;reBAP;Qualitätsgesichert;EUR/MWh;51,72;51,72
2022-06-01;CEST;01:00;01:15;reBAP;Qualitätsgesichert;EUR/MWh;51,72;51,72
2022-06-01;CEST;01:15;01:30;reBAP;Qualitätsgesichert;EUR/MWh;51,72;51,72
2022-06-01;CEST;01:30;01:45;reBAP;Qualitätsgesichert;EUR/MWh;51,72;51,72
2022-06-01;CEST;01:45;02:00;reBAP;Qualitätsgesichert;EUR/MWh;51,72;51,72
2022-06-01;CEST;02:00;02:15;reBAP;Qualitätsgesichert;EUR/MWh;51,72;51,72
2022-06-01;CEST;02:15;02:30;reBAP;Qualitätsgesichert;EUR/MWh;51,77;51,77
2022-06-01;CEST;02:30;02:45;reBAP;Qualitätsgesichert;EUR/MWh;130,86;130,86
2022-06-01;CEST;02:45;03:00;reBAP;Qualitätsgesichert;EUR/MWh;118,45;118,45
2022-06-01;CEST;03:00;03:15;reBAP;Qualitätsgesichert;EUR/MWh;117,48;117,48
2022-06-01;CEST;03:15;03:30;reBAP;Qualitätsgesichert;EUR/MWh;125,73;125,73
2022-06-01;CEST;03:30;03:45;reBAP;Qualitätsgesichert;EUR/MWh;118,29;118,29
2022-06-01;CEST;03:45;04:00;reBAP;Qualitätsgesichert;EUR/MWh;251,21;251,21
2022-06-01;CEST;04:00;04:15;reBAP;Qualitätsgesichert;EUR/MWh;271,01;271,01
2022-06-01;CEST;04:15;04:30;reBAP;Qualitätsgesichert;EUR/MWh;128,01;128,01
2022-06-01;CEST;04:30;04:45;reBAP;Qualitätsgesichert;EUR/MWh;112,51;112,51
2022-06-01;CEST;04:45;05:00;reBAP;Qualitätsgesichert;EUR/MWh;106,62;106,62
2022-06-01;CEST;05:00;05:15;reBAP;Qualitätsgesichert;EUR/MWh;94,73;94,73
2022-06-01;CEST;05:15;05:30;reBAP;Qualitätsgesichert;EUR/MWh;70,81;70,81
2022-06-01;CEST;05:30;05:45;reBAP;Qualitätsgesichert;EUR/MWh;87,72;87,72
2022-06-01;CEST;05:45;06:00;reBAP;Qualitätsgesichert;EUR/MWh;47,84;47,84
2022-06-01;CEST;06:00;06:15;reBAP;Qualitätsgesichert;EUR/MWh;271,79;271,79
2022-06-01;CEST;06:15;06:30;reBAP;Qualitätsgesichert;EUR/MWh;290,96;290,96
2022-06-01;CEST;06:30;06:45;reBAP;Qualitätsgesichert;EUR/MWh;328,09;328,09
2022-06-01;CEST;06:45;07:00;reBAP;Qualitätsgesichert;EUR/MWh;327,20;327,20
2022-06-01;CEST;07:00;07:15;reBAP;Qualitätsgesichert;EUR/MWh;303,96;303,96
2022-06-01;CEST;07:15;07:30;reBAP;Qualitätsgesichert;EUR/MWh;293,54;293,54
2022-06-01;CEST;07:30;07:45;reBAP;Qualitätsgesichert;EUR/MWh;334,38;334,38
2022-06-01;CEST;07:45;08:00;reBAP;Qualitätsgesichert;EUR/MWh;355,91;355,91
2022-06-01;CEST;08:00;08:15;reBAP;Qualitätsgesichert;EUR/MWh;470,38;470,38
2022-06-01;CEST;08:15;08:30;reBAP;Qualitätsgesichert;EUR/MWh;388,16;388,16
2022-06-01;CEST;08:30;08:45;reBAP;Qualitätsgesichert;EUR/MWh;297,59;297,59
2022-06-01;CEST;08:45;09:00;reBAP;Qualitätsgesichert;EUR/MWh;261,47;261,47
2022-06-01;CEST;09:00;09:15;reBAP;Qualitätsgesichert;EUR/MWh;319,35;319,35
2022-06-01;CEST;09:15;09:30;reBAP;Qualitätsgesichert;EUR/MWh;294,23;294,23
2022-06-01;CEST;09:30;09:45;reBAP;Qualitätsgesichert;EUR/MWh;275,46;275,46
2022-06-01;CEST;09:45;10:00;reBAP;Qualitätsgesichert;EUR/MWh;288,28;288,28
2022-06-01;CEST;10:00;10:15;reBAP;Qualitätsgesichert;EUR/MWh;296,60;296,60
2022-06-01;CEST;10:15;10:30;reBAP;Qualitätsgesichert;EUR/MWh;267,34;267,34
2022-06-01;CEST;10:30;10:45;reBAP;Qualitätsgesichert;EUR/MWh;280,79;280,79
2022-06-01;CEST;10:45;11:00;reBAP;Qualitätsgesichert;EUR/MWh;293,66;293,66
2022-06-01;CEST;11:00;11:15;reBAP;Qualitätsgesichert;EUR/MWh;321,40;321,40
2022-06-01;CEST;11:15;11:30;reBAP;Qualitätsgesichert;EUR/MWh;290,35;290,35
2022-06-01;CEST;11:30;11:45;reBAP;Qualitätsgesichert;EUR/MWh;313,36;313,36
2022-06-01;CEST;11:45;12:00;reBAP;Qualitätsgesichert;EUR/MWh;315,74;315,74
2022-06-01;CEST;12:00;12:15;reBAP;Qualitätsgesichert;EUR/MWh;328,97;328,97
2022-06-01;CEST;12:15;12:30;reBAP;Qualitätsgesichert;EUR/MWh;25,33;25,33
2022-06-01;CEST;12:30;12:45;reBAP;Qualitätsgesichert;EUR/MWh;107,58;107,58
2022-06-01;CEST;12:45;13:00;reBAP;Qualitätsgesichert;EUR/MWh;81,71;81,71
2022-06-01;CEST;13:00;13:15;reBAP;Qualitätsgesichert;EUR/MWh;149,16;149,16
2022-06-01;CEST;13:15;13:30;reBAP;Qualitätsgesichert;EUR/MWh;106,54;106,54
2022-06-01;CEST;13:30;13:45;reBAP;Qualitätsgesichert;EUR/MWh;-15,64;-15,64
2022-06-01;CEST;13:45;14:00;reBAP;Qualitätsgesichert;EUR/MWh;255,09;255,09
2022-06-01;CEST;14:00;14:15;reBAP;Qualitätsgesichert;EUR/MWh;289,63;289,63
2022-06-01;CEST;14:15;14:30;reBAP;Qualitätsgesichert;EUR/MWh;285,93;285,93
2022-06-01;CEST;14:30;14:45;reBAP;Qualitätsgesichert;EUR/MWh;283,21;283,21
2022-06-01;CEST;14:45;15:00;reBAP;Qualitätsgesichert;EUR/MWh;296,44;296,44
2022-06-01;CEST;15:00;15:15;reBAP;Qualitätsgesichert;EUR/MWh;271,91;271,91
2022-06-01;CEST;15:15;15:30;reBAP;Qualitätsgesichert;EUR/MWh;266,26;266,26
2022-06-01;CEST;15:30;15:45;reBAP;Qualitätsgesichert;EUR/MWh;317,14;317,14
2022-06-01;CEST;15:45;16:00;reBAP;Qualitätsgesichert;EUR/MWh;324,77;324,77
2022-06-01;CEST;16:00;16:15;reBAP;Qualitätsgesichert;EUR/MWh;313,42;313,42
2022-06-01;CEST;16:15;16:30;reBAP;Qualitätsgesichert;EUR/MWh;337,09;337,09
2022-06-01;CEST;16:30;16:45;reBAP;Qualitätsgesichert;EUR/MWh;318,74;318,74
2022-06-01;CEST;16:45;17:00;reBAP;Qualitätsgesichert;EUR/MWh;315,66;315,66
2022-06-01;CEST;17:00;17:15;reBAP;Qualitätsgesichert;EUR/MWh;269,63;269,63
2022-06-01;CEST;17:15;17:30;reBAP;Qualitätsgesichert;EUR/MWh;341,84;341,84
2022-06-01;CEST;17:30;17:45;reBAP;Qualitätsgesichert;EUR/MWh;336,07;336,07
2022-06-01;CEST;17:45;18:00;reBAP;Qualitätsgesichert;EUR/MWh;372,88;372,88
2022-06-01;CEST;18:00;18:15;reBAP;Qualitätsgesichert;EUR/MWh;290,33;290,33
2022-06-01;CEST;18:15;18:30;reBAP;Qualitätsgesichert;EUR/MWh;309,01;309,01
2022-06-01;CEST;18:30;18:45;reBAP;Qualitätsgesichert;EUR/MWh;337,03;337,03
2022-06-01;CEST;18:45;19:00;reBAP;Qualitätsgesichert;EUR/MWh;375,84;375,84
2022-06-01;CEST;19:00;19:15;reBAP;Qualitätsgesichert;EUR/MWh;147,70;147,70
2022-06-01;CEST;19:15;19:30;reBAP;Qualitätsgesichert;EUR/MWh;128,10;128,10
2022-06-01;CEST;19:30;19:45;reBAP;Qualitätsgesichert;EUR/MWh;61,61;61,61
2022-06-01;CEST;19:45;20:00;reBAP;Qualitätsgesichert;EUR/MWh;113,81;113,81
2022-06-01;CEST;20:00;20:15;reBAP;Qualitätsgesichert;EUR/MWh;58,58;58,58
2022-06-01;CEST;20:15;20:30;reBAP;Qualitätsgesichert;EUR/MWh;128,56;128,56
2022-06-01;CEST;20:30;20:45;reBAP;Qualitätsgesichert;EUR/MWh;302,23;302,23
2022-06-01;CEST;20:45;21:00;reBAP;Qualitätsgesichert;EUR/MWh;327,43;327,43
2022-06-01;CEST;21:00;21:15;reBAP;Qualitätsgesichert;EUR/MWh;311,73;311,73
2022-06-01;CEST;21:15;21:30;reBAP;Qualitätsgesichert;EUR/MWh;346,36;346,36
2022-06-01;CEST;21:30;21:45;reBAP;Qualitätsgesichert;EUR/MWh;318,66;318,66
