Datum;Zeitzone;von;bis;Datenkategorie;Datentyp;Einheit;reBAP unterdeckt;reBAP ueberdeckt
2021-01-01;CET;00:00;00:15;reBAP;Qualitätsgesichert;EUR/MWh;13,33;13,33
2021-01-01;CET;00:15;00:30;reBAP;Qualitätsgesichert;EUR/MWh;-0,92;-0,92
2021-01-01;CET;00:30;00:45;reBAP;Qualitätsgesichert;EUR/MWh;60,26;60,26
2021-01-01;CET;00:45;01:00;reBAP;Qualitätsgesichert;EUR/MWh;-12,05;-12,05
2021-01-01;CET;01:00;01:15;reBAP;Qualitätsgesichert;EUR/MWh;96,09;96,09
2021-01-01;CET;01:15;01:30;reBAP;Qualitätsgesichert;EUR/MWh;94,62;94,62
2021-01-01;CET;01:30;01:45;reBAP;Qualitätsgesichert;EUR/MWh;92,21;92,21
2021-01-01;CET;01:45;02:00;reBAP;Qualitätsgesichert;EUR/MWh;27,64;27,64
2021-01-01;CET;02:00;02:15;reBAP;Qualitätsgesichert;EUR/MWh;13,71;13,71
2021-01-01;CET;02:15;02:30;reBAP;Qualitätsgesichert;EUR/MWh;11,99;11,99
2021-01-01;CET;02:30;02:45;reBAP;Qualitätsgesichert;EUR/MWh;4,31;4,31
2021-01-01;CET;02:45;03:00;reBAP;Qualitätsgesichert;EUR/MWh;-3,01;-3,01
2021-01-01;CET;03:00;03:15;reBAP;Qualitätsgesichert;EUR/MWh;2,22;2,22
2021-01-01;CET;03:15;03:30;reBAP;Qualitätsgesichert;EUR/MWh;4,63;4,63
2021-01-01;CET;03:30;03:45;reBAP;Qualitätsgesichert;EUR/MWh;3,11;3,11
2021-01-01;CET;03:45;04:00;reBAP;Qualitätsgesichert;EUR/MWh;1,01;1,01
2021-01-01;CET;04:00;04:15;reBAP;Qualitätsgesichert;EUR/MWh;57,94;57,94
2021-01-01;CET;04:15;04:30;reBAP;Qualitätsgesichert;EUR/MWh;50,74;50,74
2021-01-01;CET;04:30;04:45;reBAP;Qualitätsgesichert;EUR/MWh;-16,54;-16,54
2021-01-01;CET;04:45;05:00;reBAP;Qualitätsgesichert;EUR/MWh;-43,00;-43,00
2021-01-01;CET;05:00;05:15;reBAP;Qualitätsgesichert;EUR/MWh;94,02;94,02
2021-01-01;CET;05:15;05:30;reBAP;Qualitätsgesichert;EUR/MWh;-4,98;-4,98
2021-01-01;CET;05:30;05:45;reBAP;Qualitätsgesichert;EUR/MWh;23,62;23,62
2021-01-01;CET;05:45;06:00;reBAP;Qualitätsgesichert;EUR/MWh;109,17;109,17
2021-01-01;CET;06:00;06:15;reBAP;Qualitätsgesichert;EUR/MWh;44,42;44,42
2021-01-01;CET;06:15;06:30;reBAP;Qualitätsgesichert;EUR/MWh;53,89;53,89
2021-01-01;CET;06:30;06:45;reBAP;Qualitätsgesichert;EUR/MWh;109,17;109,17
2021-01-01;CET;06:45;07:00;reBAP;Qualitätsgesichert;EUR/MWh;83,65;83,65
2021-01-01;CET;07:00;07:15;reBAP;Qualitätsgesichert;EUR/MWh;62,65;62,65
2021-01-01;CET;07:15;07:30;reBAP;Qualitätsgesichert;EUR/MWh;17,78;17,78
2021-01-01;CET;07:30;07:45;reBAP;Qualitätsgesichert;EUR/MWh;24,77;24,77
2021-01-01;CET;07:45;08:00;reBAP;Qualitätsgesichert;EUR/MWh;32,96;32,96
2021-01-01;CET;08:00;08:15;reBAP;Qualitätsgesichert;EUR/MWh;13,25;13,25
2021-01-01;CET;08:15;08:30;reBAP;Qualitätsgesichert;EUR/MWh;2,36;2,36
2021-01-01;CET;08:30;08:45;reBAP;Qualitätsgesichert;EUR/MWh;0,46;0,46
2021-01-01;CET;08:45;09:00;reBAP;Qualitätsgesichert;EUR/MWh;-11,59;-11,59
